"month","users","changesets","edits"
"2020-07-01 00:00:00.000","635","7517","1102141"
"2020-06-01 00:00:00.000","742","12289","1698290"
"2020-05-01 00:00:00.000","806","12982","1434547"
"2020-04-01 00:00:00.000","842","13262","1558609"
"2020-03-01 00:00:00.000","745","10791","1727376"
"2020-02-01 00:00:00.000","737","10998","1389693"
"2020-01-01 00:00:00.000","792","12826","1369579"
"2019-12-01 00:00:00.000","806","11313","1512442"
"2019-11-01 00:00:00.000","882","11783","1554447"
"2019-10-01 00:00:00.000","887","12540","1592555"
"2019-09-01 00:00:00.000","948","13024","1378009"
"2019-08-01 00:00:00.000","975","12713","1239233"
"2019-07-01 00:00:00.000","971","13962","1810140"
"2019-06-01 00:00:00.000","970","13322","1660334"
"2019-05-01 00:00:00.000","976","13055","1880630"
"2019-04-01 00:00:00.000","1014","13742","1722516"
"2019-03-01 00:00:00.000","1003","14118","1873983"
"2019-02-01 00:00:00.000","970","14949","2223892"
"2019-01-01 00:00:00.000","1057","16521","2206006"
"2018-12-01 00:00:00.000","997","13603","1870499"
"2018-11-01 00:00:00.000","1088","15499","2073434"
"2018-10-01 00:00:00.000","1145","16819","2113132"
"2018-09-01 00:00:00.000","1215","17173","1972963"
"2018-08-01 00:00:00.000","1309","18894","1916778"
"2018-07-01 00:00:00.000","1279","16975","2035943"
"2018-06-01 00:00:00.000","1209","15867","2081283"
"2018-05-01 00:00:00.000","1386","17343","2126085"
"2018-04-01 00:00:00.000","1289","17999","2353655"
"2018-03-01 00:00:00.000","1240","18126","2179124"
"2018-02-01 00:00:00.000","1224","17830","2150400"
"2018-01-01 00:00:00.000","1471","19781","2318822"
"2017-12-01 00:00:00.000","1386","17909","2299262"
"2017-11-01 00:00:00.000","1307","17928","2309207"
"2017-10-01 00:00:00.000","1454","21288","2825810"
"2017-09-01 00:00:00.000","1489","22122","2714209"
"2017-08-01 00:00:00.000","1645","23339","2606204"
"2017-07-01 00:00:00.000","1625","23631","2552444"
"2017-06-01 00:00:00.000","1696","22791","2699031"
"2017-05-01 00:00:00.000","1974","24297","2829454"
"2017-04-01 00:00:00.000","2105","23037","2889972"
"2017-03-01 00:00:00.000","2238","24461","3470491"
"2017-02-01 00:00:00.000","2257","24824","2894954"
"2017-01-01 00:00:00.000","2540","28021","3487868"
"2016-12-01 00:00:00.000","2144","26530","3264138"
"2016-11-01 00:00:00.000","2296","28214","3319011"
"2016-10-01 00:00:00.000","2378","29432","3086768"
"2016-09-01 00:00:00.000","2527","29413","2983871"
"2016-08-01 00:00:00.000","2742","28179","3156087"
"2016-07-01 00:00:00.000","2563","28084","3184137"
"2016-06-01 00:00:00.000","2562","27186","3243372"
"2016-05-01 00:00:00.000","2701","31104","3863337"
"2016-04-01 00:00:00.000","2752","29428","3827178"
"2016-03-01 00:00:00.000","2718","33103","3954188"
"2016-02-01 00:00:00.000","2744","31906","4208598"
"2016-01-01 00:00:00.000","2817","38551","4940756"
"2015-12-01 00:00:00.000","2875","33894","4594877"
"2015-11-01 00:00:00.000","3506","37453","5071471"
"2015-10-01 00:00:00.000","3701","40093","4824172"
"2015-09-01 00:00:00.000","3745","37373","4519980"
"2015-08-01 00:00:00.000","3859","39056","4446396"
"2015-07-01 00:00:00.000","3785","56574","4802271"
"2015-06-01 00:00:00.000","4019","43987","4740407"
"2015-05-01 00:00:00.000","4286","44370","5717549"
"2015-04-01 00:00:00.000","4334","42275","5290572"
"2015-03-01 00:00:00.000","4154","43449","5235440"
"2015-02-01 00:00:00.000","3992","37805","4886505"
"2015-01-01 00:00:00.000","4058","43678","6076230"
"2014-12-01 00:00:00.000","3900","43493","6202946"
"2014-11-01 00:00:00.000","4149","44609","6403535"
"2014-10-01 00:00:00.000","4507","47340","6195282"
"2014-09-01 00:00:00.000","4441","47567","6348539"
"2014-08-01 00:00:00.000","5091","49874","6532694"
"2014-07-01 00:00:00.000","4745","525479","6084670"
"2014-06-01 00:00:00.000","4649","202337","5374373"
"2014-05-01 00:00:00.000","4918","53747","6544211"
"2014-04-01 00:00:00.000","5063","53495","6316233"
"2014-03-01 00:00:00.000","5152","56672","6626449"
"2014-02-01 00:00:00.000","4750","52816","6933843"
"2014-01-01 00:00:00.000","5291","60134","8548035"
"2013-12-01 00:00:00.000","4629","60840","8525249"
"2013-11-01 00:00:00.000","4567","59362","8593888"
"2013-10-01 00:00:00.000","4936","64488","7993239"
"2013-09-01 00:00:00.000","5480","72692","8468482"
"2013-08-01 00:00:00.000","11195","99594","10539719"
"2013-07-01 00:00:00.000","12732","103237","11449863"
"2013-06-01 00:00:00.000","12866","102965","10806561"
"2013-05-01 00:00:00.000","15248","119714","12592386"
"2013-04-01 00:00:00.000","13744","117308","12508996"
"2013-03-01 00:00:00.000","13242","119515","14491396"
"2013-02-01 00:00:00.000","12769","111382","12696721"
"2013-01-01 00:00:00.000","14987","125141","15177484"
"2012-12-01 00:00:00.000","12277","115610","14317969"
"2012-11-01 00:00:00.000","13945","130535","13673745"
"2012-10-01 00:00:00.000","15052","135493","13532809"
"2012-09-01 00:00:00.000","16372","134227","13725187"
"2012-08-01 00:00:00.000","15250","130627","13832707"
"2012-07-01 00:00:00.000","14188","125062","13997489"
"2012-06-01 00:00:00.000","15109","113955","12765185"
"2012-05-01 00:00:00.000","14557","104317","10582194"
"2012-04-01 00:00:00.000","15911","99792","10403883"
"2012-03-01 00:00:00.000","18489","117142","11390044"
"2012-02-01 00:00:00.000","11230","88863","9921538"
"2012-01-01 00:00:00.000","13396","97988","9579583"
"2011-12-01 00:00:00.000","11176","85766","7907110"
"2011-11-01 00:00:00.000","10888","87364","7520180"
"2011-10-01 00:00:00.000","11060","92642","7677113"
"2011-09-01 00:00:00.000","10471","88306","7716212"
"2011-08-01 00:00:00.000","11470","101613","9220972"
"2011-07-01 00:00:00.000","12887","101989","9339185"
"2011-06-01 00:00:00.000","13309","104887","9118347"
"2011-05-01 00:00:00.000","12110","104116","9365150"
"2011-04-01 00:00:00.000","12140","97781","9262728"
"2011-03-01 00:00:00.000","10781","97336","7694696"
"2011-02-01 00:00:00.000","10318","89039","7233295"
"2011-01-01 00:00:00.000","10296","104288","8920545"
"2010-12-01 00:00:00.000","10140","103725","9521755"
"2010-11-01 00:00:00.000","9679","77776","4115320"
"2010-10-01 00:00:00.000","9411","83602","4290177"
"2010-09-01 00:00:00.000","9697","87729","4672665"
"2010-08-01 00:00:00.000","10693","95912","5055835"
"2010-07-01 00:00:00.000","9186","83685","4542019"
"2010-06-01 00:00:00.000","9546","90685","4993690"
"2010-05-01 00:00:00.000","9769","100135","5400978"
"2010-04-01 00:00:00.000","10045","100386","5453384"
"2010-03-01 00:00:00.000","9923","104300","5270627"
"2010-02-01 00:00:00.000","9101","94208","5216572"
"2010-01-01 00:00:00.000","9963","104410","6193817"
"2009-12-01 00:00:00.000","8235","90905","4758928"
"2009-11-01 00:00:00.000","10663","114569","5255615"
"2009-10-01 00:00:00.000","11342","129706","5699949"
"2009-09-01 00:00:00.000","13245","143215","5967653"
"2009-08-01 00:00:00.000","12646","141850","5930610"
"2009-07-01 00:00:00.000","10444","120556","5465307"
"2009-06-01 00:00:00.000","9388","110656","4682641"
"2009-05-01 00:00:00.000","11784","154042","4764701"
"2009-04-01 00:00:00.000","6166","67735","1507759"
